NOMBRE DE PROVEEDOR,ESPECIALIDAD,SUBESPECIALIDAD,PUEBLO,TELEFONO,DIRECCIÌÒN FÌçSICA,Contry,Location
Mediquip Services Corp.,Salud en el Hogar,Terapia FÌ_sica y Ocupacional,Caguas,787-704-0421,"Urb. Caguas Norte
AB #5 Calle Nebraska
Caguas PR  00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
RubÌ©n A. PÌ©rez RamÌ_rez ,Generalista ,,Guayama,787-864-5846,"Hosp. San Lucas
Ave. Pedro Albizu Campos
Guayama PR  00784",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Laboratorio ClÌ_nico Paseo del Sur ,Laboratorio ,ClÌ_nico,Ponce,787-290-5511,"Ctro. Comercial Paseo del Sur
Ave. Los Caobos Local C
Ponce PR  00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
JosÌ© E. Bisbal VÌÁzquez ,Fisiatra ,,Vega Baja,787-780-5910,"Carr. #2 Km 39.8
Vega Baja PR  00693",Puerto Rico,"Vega Baja, Puerto Rico
(18.446009992000427, -66.38754999999964)"
Edgar Martorell Vincenty ,UrÌ_logo ,,BayamÌ_n,787-786-3543,"Edif. MÌ©dico Hermanas DÌÁvila
Urb. Villa Rica Suite 205
BayamÌ_n PR  00956",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
Integrated Radiology Associates Inc.,RadiÌ_logo,InterpretaciÌ_n,Guayama,787-997-2525,"Hosp. San Lucas
Ave. Pedro Albizu Campos
Guayama PR  00784",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
FÌ©lix Santiago Ortiz ,Ortopeda ,,San Juan,787-728-0808,"Edif. Pavia Medical Plaza 611
Suite 111 Pda. 22
Santurce PR  00907",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
"PediatrÌ_a Home Care Services, Inc. ",Salud en el Hogar,Terapia Respiratoria,Guaynabo,787-789-6712,"Calle Bori #1502
Urb. Antonsnati
San Juan PR  00927",Puerto Rico,"Guaynabo, Puerto Rico
(18.359729975000448, -66.11052000299964)"
Quantum Interventional Radiology PSC,RadiÌ_logo,Intervencional,San Juan,787-777-3535,"Dpto. RadiologÌ_a ASEM
Centro MÌ©dico
San Juan PR  00922",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Tort Orthopaedic Institute PSC,Ortopeda ,,San Juan,787-773-0023,"Calle Federico Costa 203
Montemar Plaza Ofic. 101
Hato Rey PR  00918",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Centro Salud Familiar dr. Julio Palmieri Ferri Inc.,Pediatra,,Arroyo,787-839-4150,"Morse Esquina Valentina
Arroyo PR  00714",Puerto Rico,"Arroyo, Puerto Rico
(17.96216001400046, -66.06388002299963)"
Centro Salud Familiar dr. Julio Palmieri Ferri Inc.,Dentista,,Arroyo,787-839-4150,"Morse Esquina Valentina
Arroyo PR  00714",Puerto Rico,"Arroyo, Puerto Rico
(17.96216001400046, -66.06388002299963)"
Centro Salud Familiar dr. Julio Palmieri Ferri Inc.,GinecÌ_logo ,,Arroyo,787-839-4150,"Morse Esquina Valentina
Arroyo PR  00714",Puerto Rico,"Arroyo, Puerto Rico
(17.96216001400046, -66.06388002299963)"
Centro Salud Familiar dr. Julio Palmieri Ferri Inc., Internista  ,,Arroyo,787-839-4150,"Morse Esquina Valentina
Arroyo PR  00714",Puerto Rico,"Arroyo, Puerto Rico
(17.96216001400046, -66.06388002299963)"
Centro Salud Familiar dr. Julio Palmieri Ferri Inc.,EmergenciÌ_logo,,Arroyo,787-839-4150,"Morse Esquina Valentina
Arroyo PR  00714",Puerto Rico,"Arroyo, Puerto Rico
(17.96216001400046, -66.06388002299963)"
First Choice Prosthetic & Ortopedic Serv.,Equipo MÌ©dico ,,Ponce,787-284-6184,"Torre MÌ©dica San Lucas
Suite 714 #909 Ave. Tito Castro
Ponce PR  00716",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
JosÌ© Fournier Rebollo,UrÌ_logo ,,BayamÌ_n,787-786-3543,"Edif. MÌ©dico Hermanos DÌÁvila
Urb. Villa Rica Suite 2052
BayamÌ_n PR  00960",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
"Laboratorio ClÌ_nico Gaudier, Inc..",Laboratorio ,ClÌ_nico,MayagÌ_ez,787-832-0348,"De Diego #33 Este
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Carlos Cuevas DBA Cuevas Critical Transport,Ambulancia,,Utuado,787-624-9577,"Bo. Caguana, Sector Roncador
Utuado PR  00641",Puerto Rico,"Utuado, Puerto Rico
(18.266249998000433, -66.70459997699965)"
Shirley ChÌÁvez DBA The Key Of Life,Ambulancia,,Vega Alta,787-517-5107,"Bo. Algarrobo Carr. #2 Km 39.9
Vega Baja PR  00693",Puerto Rico,"Vega Alta, Puerto Rico
(18.412209980000455, -66.33177998699966)"
Carmen Rosa GonzÌÁlez Torres,Terapia,Habla,Barranquitas,787-283-7958,"Calle BarcelÌ_ #103
Barranquitas PR  00794",Puerto Rico,"Barranquitas, Puerto Rico
(18.18655002300045, -66.30649998599966)"
Emergencias MÌ©dicas Maricao,Ambulancia,,Maricao,787-838-2290,"Carr. #120 Km. 22.0
Frente Cuartel Estatal
Maricao PR  00606",Puerto Rico,"Maricao, Puerto Rico
(18.181050007000465, -66.97869998999965)"
Axel A. BÌÁez Torres,PatologÌ_a,,San German,787-892-1860,"Hosp. La ConcepciÌ_n
Dpto. PatologÌ_a 2do Piso
San GermÌÁn PR  00683",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
Gilberto RodrÌ_guez Santiago,Generalista,,Isabela,787-872-2527,"Calle JesÌ_s T. PiÌ±eiro #4
Isabela PR  00662",Puerto Rico,"Isabela, Puerto Rico
(18.501219988000457, -67.02111999699963)"
Armando Wiscovitch PÌ©rez,Internista,,Ponce,787-259-5990,"Urb. San Antonio
1910 Ave. Las AmÌ©ricas 
Ponce, PR 00728",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Caroline RodrÌ_guez Ferrer,RadiÌ_logo,InterpretaciÌ_n,San German,787-892-5030,"Calle Dr. Veve #343
San GermÌÁn PR  00683",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
Marta Brito HernÌÁndez,Salud en el Hogar,Terapia FÌ_sica,Las Piedras,787-644-5074,"1-24 Montereal Olympic Ville
Las Piedras PR  00771",Puerto Rico,"Las Piedras, Puerto Rico
(18.18253001800042, -65.86530001999967)"
Gilberto RodrÌ_guez Santiago DBA RH Medical Transport ,Ambulancia,,Isabela,787-872-2340,"Ave. JesÌ_s T. PiÌ±ero #4
Isabela PR  00662",Puerto Rico,"Isabela, Puerto Rico
(18.501219988000457, -67.02111999699963)"
Ponce Orthopaedic Trauma Institute PSC ,Ortopeda ,,Ponce,787-844-8110,"Edif. Torre De Oro, 1er Piso
Ave. Las AmÌ©ricas Ste. 104
Ponce PR  00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
JosÌ© D. Quiles Rosas ,Generalista ,,Santa Isabel,787-845-6211,"Calle MuÌ±oz Rivera #54
Santa Isabel PR  00757",Puerto Rico,"Santa Isabel, Puerto Rico
(17.969170003000443, -66.40393999299965)"
Presbyterian Medical Anesthesia Group,AnestesiÌ_logo,,San Juan,787-725-7860,"Ave. Ashford Hosp. Presby
2do Piso, Ofic. Anestesia
San Juan PR  00907",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
JesÌ_s A. Romero PÌ©rez,RadiÌ_logo,ProducciÌ_n e InterpretaciÌ_n,MayagÌ_ez,787-832-3515,"Calle Pablo MaÌ_z #5
MayagÌ_ez PR  00610
Calle Carbonell #87
MayagÌ_ez PR  00623",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Nydia GonzÌÁlez LÌ_pez ,Terapia ,Habla,Gurabo,787-737-6493,"Marina Plaza Ste. 17
Gurabo PR  00778
Hima Medical Clinic
HIMA Plaza, Suite 308
Caguas PR  00725",Puerto Rico,"Gurabo, Puerto Rico
(18.254759995000427, -65.97214002299967)"
"Terapia FÌ_sica en Movimiento, Inc.",Terapia ,FÌ_sica,Camuy,"787-447-8064
787-975-7441","Carr. #2 Km 0.9
Bo. Puente #4491
Camuy PR  00627
Carr.2 Km 62.8 
Sector Candelaria 
Arecibo, PR 00612",Puerto Rico,"Camuy, Puerto Rico
(18.483989994000467, -66.84468999599966)"
Nydia GonzÌÁlez LÌ_pez ,Salud en el Hogar,Habla,Gurabo,787-737-6493,"Marina Plaza Ste. 17
Gurabo PR  00778
Hima Medical Clinic
HIMA Plaza, Suite 308
Caguas PR  00725",Puerto Rico,"Gurabo, Puerto Rico
(18.254759995000427, -65.97214002299967)"
Atenas Community Health Center ,RadiÌ_logo,,ManatÌ_,787-854-2292,"Carr. #2 Km 50.0
ManatÌ_ PR  00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Emergencias MÌ©dicas Arecibo ,Ambulancia,,Arecibo,787-879-1700,"Ave. JosÌ© De Diego 
#436 Carr. #2
Arecibo PR  00612",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
JosÌ© G. Amy SÌÁnchez ,Fisiatra ,,BayamÌ_n,787-798-3967,"Calle Santa Rosa E-22
2do Piso, Frente Club de Leones
BayamÌ_n PR  00961",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
Sylvia Otero DBA Centro de Terapia FÌ_sica Boaz,Terapia ,FÌ_sica,Arecibo,787-879-9406,"Bo. Santana, Carr. #2 Km 67.5
Arecibo PR  00612
Plaza JardÌ_nes Suite #2
Vega Baja PR  00693",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
Emergencias Medicas Municipio de MayagÌ_ez,Ambulancia,,MayagÌ_ez,787-832-1212,"Calle San Rafael #214
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Municipio AutÌ_nomo de Guayama ,Ambulancia,,Guayama,787-864-7617,"Carr. #3 IntersecciÌ_n 
Carretera Machete
Guayama PR  00784",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Edgardo Figueroa MuÌ±iz ,Generalista ,,Ponce,787-840-6838,"La Rambla Plaza, Suite 233
Ave. Tito Castro #606
Ponce PR  00716",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Hatimed Ambulance Services ,Ambulancia,,Arecibo,787-879-5555,"Urb. Hatillo Del Mar
B-1 Calle Miguel GonzÌÁlez
Hatillo PR  00659",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
JosÌ© A. ColÌ_n Marcano ,CardiÌ_logo,,Hato Rey,787-751-5170,"National Plaza Suite 301
Ponce De LeÌ_n #431
Hato Rey PR  00917",Puerto Rico,"Hato Rey, Puerto Rico
"
JosÌ© A. ColÌ_n Marcano ,Internista,,Hato Rey,787-751-5170,"Ave. Ponce De LeÌ_n #431
National Plaza, Suite 301
Hato Rey, PR 00917",Puerto Rico,"Hato Rey, Puerto Rico
"
Albarosa Alicea Nieves,PsicÌ_logo ,,Isabela,787-672-1540,"Edif. La Curva Professional Plaza
Suite #201 Sector La Curva
Isabela PR  00662",Puerto Rico,"Isabela, Puerto Rico
(18.501219988000457, -67.02111999699963)"
JosÌ© A. Mercado Montalvo ,NeumÌ_logo,,Carolina,787-276-5272,"Ave. Campo Rico Bloque #1
Urb. Sabana Gardens
Carolina PR  00983",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Southern Internal Medicine Group Inc. ,Internista,,Ponce,787-751-5170,"Edif. Parra #2225
Ponce By Pass, Suite 302
Ponce PR  00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Wilkins Feliciano Acevedo ,Salud en el Hogar,Terapia FÌ_sica,Sabana Grande,787-873-5999,"Ave. 5 de Diciembre #173-B
Sabana Grande PR  00637",Puerto Rico,"Sabana Grande, Puerto Rico
(18.078060005000452, -66.96184998799964)"
Eduardo Amy Torres ,Ortopeda ,,Ponce,787-844-8110,"Cond. Torre de Oro #2175
Ave. Las AmÌ©ricas, Suite 104
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
United Emergency Medical Corp. ,Ambulancia,,BayamÌ_n,787-730-8666,"Carr. #830 Km 1.7
Bo. Cerro Gordo
BayamÌ_n PR  00960",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
Osvaldo Ortiz HNC Jezreel Ambulance,Ambulancia,,San Lorenzo,787-370-5021,"Carr. #183 Km 2 Ramal 9929
San Lorenzo PR  00754",Puerto Rico,"San Lorenzo, Puerto Rico
(18.190280024000458, -65.96230000999964)"
"Puerto Rico Ambulance, Inc..",Ambulancia,,Hatillo,787-898-6300,"Carr. #2 Ave. Pablo J. Aguilar
Int. 130 Suite 11
Hatillo PR  00659",Puerto Rico,"Hatillo, Puerto Rico
(18.483049984000445, -66.82282999899962)"
CorporaciÌ_n Las Vegas,Terapia ,FÌ_sica,ManatÌ_,787-854-1426,"Edif. Las Vegas #420
Bo. Cotto Norte
ManatÌ_ PR  00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Francisco M. Murphy Rivera,MÌ©dico de Familia,,Adjuntas,787-829-4596,"!19 Calle San Joaquin Altos
Adjuntas PR  00601",Puerto Rico,"Adjuntas, Puerto Rico
(18.163220012000465, -66.72308999699965)"
Antonio M. Abreu Ramos ,Fisiatra,,BayamÌ_n,787-528-2829,"Comercial Bella Vista Ofic. 14-A
BayamÌ_n PR  00960
Bo. PÌÁjaros Candelaria
Carr. 863 Km 2.2
Toa Baja PR  00949 (3 mÌÁs)",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
RamÌ_n Rosario Serrano ,Salud en el Hogar,Terapia FÌ_sica,Cabo Rojo,787-673-4132,"Urb. Villa Aida B-17 Calle 3
Cabo Rojo PR  00623",Puerto Rico,"Cabo Rojo, Puerto Rico
(18.088200019000453, -67.14688998899965)"
"The Golden Fennix Ambulance Services, Inc.",Ambulancia,,Arecibo,787-452-4259,"Carr. #2 Bo. Santana
Arecibo PR  00612",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
Edgar R. Rivera Ortiz ,QuiroprÌÁctico,,San SebastiÌÁn,787-246-6452,"Calle Pavia FernÌÁndez #126
Ctro. Quiro. de San SebastiÌÁn
San SebastiÌÁn PR  00685",Puerto Rico,"San Sebasti&aacute;n, Puerto Rico
"
Mayda N. Serrano Alvira ,QuiroprÌÁctico,,San SebastiÌÁn,787-246-6452,"#126 Calle PavÌ_a FernÌÁndez
San SebastiÌÁn PR  00685",Puerto Rico,"San Sebasti&aacute;n, Puerto Rico
"
EfraÌ_n L. Nazario Yordan ,Internista,,MayagÌ_ez,787-832-1710,"MayagÌ_ez Medical Center
1er Piso, Carr. #2 Ave. Hostos
MayagÌ_ez PR  00680 ",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
RamÌ_n A. Borrero McCormick ,QuiroprÌÁctico,,Ponce,787-812-0100,"Cond. San Vicente Suite 104
Ponce PR  00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
JosÌ© R. MartÌ_nez Barroso ,CardiÌ_logo,,ManatÌ_,787-854-6361,"Ext. San Salvador, Marginal #1
ManatÌ_ PR  00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Juan M. Torres Hurtado ,Generalista ,Acupuntor,Caguas,787-653-7256,"Urb. Mariolga, Ave. MuÌ±oz MarÌ_n
V-27 Caguas PR  00727",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
Wilfredo RodrÌ_guez Arboleda ,Fisiatra ,Terapia FÌ_sica,Guaynabo,787-533-0790,"Villa Clementina
C-2 Alejandrino
Guaynabo PR  00969",Puerto Rico,"Guaynabo, Puerto Rico
(18.359729975000448, -66.11052000299964)"
RamÌ_n del Prado Escobar ,Neurocirujano,,Ponce,787-840-8600,"MuÌ±oz Rivera #196
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Manuel Monasterio HernÌÁndez ,Ortopeda ,Cirujano,Ponce,787-844-8000,"Cond. Sta. MarÌ_a #2263 Ste. 201
Ave. Las AmÌ©ricas 2do Piso
Ponce PR  00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Pedro E. Casas DBA Laboratorio ClÌ_nico Aguas Buenas,Laboratorio ,ClÌ_nico,Aguas Buenas,787-732-5183,"MuÌ±oz Rivera Calle 3
Aguas Buenas PR  00703",Puerto Rico,"Aguas Buenas, Puerto Rico
(18.25705999000047, -66.10599000899964)"
HÌ©ctor RamÌ_rez MÌ©ndez ,Generalista ,,AÌ±asco,787-229-1060,"Carr. #405 Km 4.0 Bo. Caracol
AÌ±asco PR  00610",Puerto Rico,"A&ntilde;asco, Puerto Rico
"
Western Health and Care Ambulance Corp. ,Ambulancia,,Cabo Rojo,787-254-2270,"Carr. #100 Km 1.6 Plaza Sion
Cabo Rojo PR  00623",Puerto Rico,"Cabo Rojo, Puerto Rico
(18.088200019000453, -67.14688998899965)"
Beta Gamma Nuclear Radiology Inc. ,RadiÌ_logo,ProducciÌ_n e InterpretaciÌ_n,Fajardo,787-801-0092,"Caribbean Medical Center #101
Osvaldo Molina Ave. Ste. 151
Fajardo PR  00738 (2 mÌÁs)",Puerto Rico,"Fajardo, Puerto Rico
(18.328119978000473, -65.65332000799964)"
Marisol VÌ©lez DBA ClÌ_nica Terapia FÌ_sica y RehabilitaciÌ_n ySana ,Terapia ,FÌ_sica,Isabela,787-872-7717,"Carr. #474 Km 109
Bo. Galateo Bajo
Isabela PR  00662",Puerto Rico,"Isabela, Puerto Rico
(18.501219988000457, -67.02111999699963)"
Javier Cerra FernÌÁndez ,Fisiatra,,Ponce,787-840-9170,"Urb. Santa MarÌ_a
#7106 Divina Providencia
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
"Occupational Medical Services, Inc. ",Terapia ,AcuÌÁtica,Santurce,787-787-3637,"YMCA Calle Sagrado CorazÌ_n
Esq. Los Angeles #800 Ste. 2
Santurce PR  00909",Puerto Rico,"Santurce, Puerto Rico
(18.454699983000467, -66.06458000699962)"
Pedro Farinacci Morales ,RadiÌ_logo,InterpretaciÌ_n,Ponce,787-840*8686,"Hosp. Damas, Ponce By Pass
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Lilliane Rosado Arzola ,Dentista,,Guayama,787-866-3777,"Calle Ashford #86
Guayama PR  00785",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Heriberto Santiago MartÌ_nez ,Dentista,,Guayama,787-866-3777,"Calle Ashford #86
Guayama PR  00785",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Caridad GonzÌÁlez GarcÌ_a,Generalista ,,Arecibo,787-878-3151,"Calle 6356 Km 1 Sector Green
Bo. Dominguito
Arecibo PR  00612",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
Edwin Bonilla GonzÌÁlez ,Generalista ,,Aguas Buenas,787-737-7424,"MuÌ±oz Rivera #39
Aguas Buenas PR  00703",Puerto Rico,"Aguas Buenas, Puerto Rico
(18.25705999000047, -66.10599000899964)"
Municipio de Guayanilla DBA CDT Isaia RodrÌ_guez LÌ_pez ,RadiÌ_logo,,Guayanilla,787-835-5395,"Calle JosÌ© de Diego #13
Guayanilla PR  00656",Puerto Rico,"Guayanilla, Puerto Rico
(18.02363001000043, -66.79296997599965)"
JazmÌ_n Robles Arvelo ,Salud en el Hogar,Terapia FÌ_sica,San SebastiÌÁn,787-479-7304,"Carr. #446 Km 4.0 Bo. Robles
San SebastiÌÁn PR  00685",Puerto Rico,"San Sebasti&aacute;n, Puerto Rico
"
JosÌ© Urdaz GÌ_mez ,Ortopeda ,,Arecibo,787-879-4113,"Urb. San Lorenzo
Calle Mora #40",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
Luis PÌ©rez Toro ,MÌ©dico de Familia,,BayamÌ_n,787-787-0171,"Edif. MÌ©dico Santa Cruz
Suite 314
BayamÌ_n PR  00961",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
"Better Health Ambulance Service, Corp. ",Ambulancia,,Vega Baja,787-217-5251,"Brisas de Tortuguero
603 Calle Rio Cialitos
Vega Baja PR  00696",Puerto Rico,"Vega Baja, Puerto Rico
(18.446009992000427, -66.38754999999964)"
Randy O. MÌÁrquez Caban ,Generalista ,,Vega Baja,787-854-7060,"Bo. Pugnado Carr. #155 Km 58.5
Vega Baja PR  00693",Puerto Rico,"Vega Baja, Puerto Rico
(18.446009992000427, -66.38754999999964)"
Antonio R. Soto Singala ,Dentista,,Caguas,787-746-3535,"Calle Corchado 
Esq. Ruiz Belvis (altos)
Caguas PR  00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
"Gurabo Community Health Center, Inc. ",Generalista ,,Gurabo,787-737-5207,"Carr. #941 Salida
Bo. Jaguas
Gurabo PR  00778",Puerto Rico,"Gurabo, Puerto Rico
(18.254759995000427, -65.97214002299967)"
"Gurabo Community Health Center, Inc. ",Pediatra,,Trujillo Alto,787-737-5207,"Calle Condado #11
San Lorenzo PR  00754",Puerto Rico,"Trujillo Alto, Puerto Rico
(18.35556997800046, -66.00495002199966)"
"Gurabo Community Health Center, Inc. ",MÌ©dico de Familia,,Gurabo,787-737-5207,"Urb. Lago Alto, Calle Carita #130
Trujillo Alto PR  00976",Puerto Rico,"Gurabo, Puerto Rico
(18.254759995000427, -65.97214002299967)"
Juan Crespo Montoya ,Generalista ,,Naranjito,787-869-5130,"Calle Ignacio Morales #55
Naranjito PR  00719",Puerto Rico,"Naranjito, Puerto Rico
(18.300909979000437, -66.24543002299964)"
Edgar MartÌ_nez Oliveri,Generalista ,,Caguas,787-991-0920,"Ave. Luis MuÌ±oz Rivera V-27
Urb. Mariolga
Caguas PR  00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
Rafael A. Mateu CintrÌ_n ,Dentista,,Ponce,787-843-6240,"Calle Mayor #37
Ponce PR  00730",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Awilda VÌÁzquez Quintana,Terapia  ,FÌ_sica,Juana DÌ_az,787-260-0019,"Centro Terapia FÌ_sica Juana DÌ_az
Calle La Cruz #21
Juana DÌ_az PR  00795",Puerto Rico,"Juana D&iacute;az, Puerto Rico
"
Municipio de Guayanilla DBA CDT Isaia RodrÌ_guez LÌ_pez ,Laboratorio ,ClÌ_nico,Guayanilla,787-835-5395,"Calle JosÌ© de Diego #13
Guayanilla PR  00656",Puerto Rico,"Guayanilla, Puerto Rico
(18.02363001000043, -66.79296997599965)"
Fernando Ramos Landing ,EmergenciÌ_logo,,MayagÌ_ez,787-834-0101,"Hosp. Perea
Calle Dr. Basora #15
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Alvia I. Varona Cantellops ,Generalista ,,Hormigueros,787-849-0099,"Hormigueros Plaza Sute #4
Hormigueros PR  00660",Puerto Rico,"Hormigueros, Puerto Rico
(18.14104002400046, -67.12240998099963)"
Alexis Acosta MartÌ_nez ,Generalista ,,Hormigueros,787-849-0099,"Hormigueros Plaza Sute #4
Hormigueros PR  00660",Puerto Rico,"Hormigueros, Puerto Rico
(18.14104002400046, -67.12240998099963)"
Maritza Ortiz Acosta ,Psiquiatra ,,Cabo Rojo,787-856-1000,"Hosp. Metropolitano Tito Mattei
1er Piso Suite 115-B
Yauco PR  00698",Puerto Rico,"Cabo Rojo, Puerto Rico
(18.088200019000453, -67.14688998899965)"
Municipio de Yabucoa HNC Emergencias MÌ©dicas ,Ambulancia,,Yabucoa,787-266-1888,"100 Saturnino RodrÌ_guez
Yabucoa PR  00767",Puerto Rico,"Yabucoa, Puerto Rico
(18.046540020000464, -65.87727002399964)"
RS Therapy Group Inc.,Terapia ,FÌ_sica,CanÌ_vanas,787-866-1311,"#83 Calle Betances
CanÌ_vanas PR  00729",Puerto Rico,"Can&oacute;vanas, Puerto Rico
"
AnestesiÌ_logo de San GermÌÁn,AnestesiÌ_logo,,San German,787-892-6972,"Hosp. La ConcepciÌ_n 2do Piso
San GermÌÁn PR  00683",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
Amaury Segarra Torres ,Internista,,San German,787-892-1860,"Hosp. La ConcepciÌ_n 2do Piso
San GermÌÁn PR  00683",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
Alejandro RomÌÁn HernÌÁndez,Ortopeda,,Ponce,787-842-9122,"Ave. MuÌ±oz Rivera 1228 Ste. #1
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Brenda GuzmÌÁn Villar ,Fisiatra ,,CanÌ_vanas,787-886-1311,"Calle Betances #83
CanÌ_vanas PR  00729",Puerto Rico,"Can&oacute;vanas, Puerto Rico
"
Mediquip Services Corp.,PsicÌ_logo              ,,Caguas,787-704-0421,"Ave. Luis MuÌ±oz MarÌ_n AB-5
Urb. Caguas Norte Calle Nebras
Caguas PR  00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
Mediquip Services Corp.,Terapia ,"FÌ_sica, Habla,Ocupacional y Fisiatra ",Caguas,787-704-0421,"Ave. Luis MuÌ±oz MarÌ_n AB-5
Urb. Caguas Norte Calle Nebras
Caguas PR  00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
Med Heart Medical Equipment Corp.,Salud en el Hogar,EnfermerÌ_a,San GermÌÁn,787-892-9922,"Calle Fuerza #41
San GermÌÁn PR  00683",Puerto Rico,"San Germ&aacute;n, Puerto Rico
"
Med Heart Medical Equipment Corp.,Equipo MÌ©dico ,,San GermÌÁn,787-892-9922,"Calle Fuerza #41
San GermÌÁn PR  00683",Puerto Rico,"San Germ&aacute;n, Puerto Rico
"
Rosa A. Cortes Camacho ,Salud en el Hogar,Terapia FÌ_sica,RincÌ_n,787-823-4306,"Calle Comercio #16
RincÌ_n PR  00677",Puerto Rico,"Rinc&oacute;n, Puerto Rico
"
Floremil Comas Flores ,Generalista ,,MayagÌ_ez,787-402-2621,"Laliza 1959 Alturas de MayagÌ_ez
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Marciano Aviles Roig ,Dentista,,San SebastiÌÁn,787-896-1265,"Ave. Arcadio Estrada
#4100 Suite 110
San SebastiÌÁn PR  00685",Puerto Rico,"San Sebasti&aacute;n, Puerto Rico
"
Jessica Santana DBA South West Ambulance ,Ambulancia,,Cabo Rojo,787-394-3297,"Carr. #102 Km 23.3
Bo. Monte Grande
Cabo Rojo PR  00623",Puerto Rico,"Cabo Rojo, Puerto Rico
(18.088200019000453, -67.14688998899965)"
